pt_none|無 
pt_rescued_prisoners|獲 救 的 俘 虜 
pt_enemy|敵 人 
pt_hero_party|英 雄 部 隊 
pt_village_defenders|村 莊 衛 隊 
pt_cattle_herd|牛 群 
pt_looters|搶 匪 
pt_manhunters|搜 捕 者 
pt_curonians|庫 洛 尼 亞 戰 團 
pt_prussians|普 魯 士 叛 軍 
pt_samogitians|薩 莫 吉 希 亞 戰 團 
pt_yotvingians|蘇 多 維 亞 掠 奪 者 
pt_welsh|威 爾 士 叛 軍 
pt_guelphs|圭 爾 夫 教 皇 黨 人 
pt_ghibellines|吉 伯 林 皇 帝 黨 人 
pt_crusaders|十 字 軍 
pt_merc_party|憤 怒 的 醉 酒 者 
pt_monastery|修 士 
pt_farm|農 莊 
pt_linen|亞 麻 作 坊 
pt_salt|鹽 商 
pt_furs|獵 人 
pt_iron|鐵 商 
pt_silk|絲 綢 商 人 
pt_iron_mine|鐵 礦 
pt_salt_mine|鹽 礦 
pt_weapon|武 器 工 匠 
pt_armor|防 具 工 匠 
pt_fletchery|制 箭 工 匠 
pt_breeder|養 馬 人 
pt_peasant_rebels_euro|農 民 義 軍 
pt_peasant_rebels_scot|農 民 義 軍 
pt_peasant_rebels_eastern|農 民 義 軍 
pt_peasant_rebels_nordic|農 民 義 軍 
pt_peasant_rebels_mamluke|農 民 義 軍 
pt_peasant_rebels_marinid|農 民 義 軍 
pt_peasant_rebels_andalus|農 民 義 軍 
pt_peasant_rebels_mongol|農 民 義 軍 
pt_peasant_rebels_baltic|農 民 義 軍 
pt_steppe_bandits|草 原 強 盜 
pt_taiga_bandits|雪 原 強 盜 
pt_desert_bandits|沙 漠 強 盜 
pt_forest_bandits|森 林 強 盜 
pt_mountain_bandits|山 賊 
pt_sea_raiders|海 寇 
pt_robber_knights|游 蕩 的 強 盜 騎 士 團 伙 
pt_deserters|逃 兵 
pt_merchant_caravan|商 人 的 商 隊 
pt_troublesome_bandits|惹 麻 煩 的 土 匪 
pt_bandits_awaiting_ransom|等 待 贖 金 的 土 匪 
pt_kidnapped_girl|被 綁 架 的 女 孩 
pt_village_farmers|村 民 
pt_spy_partners|不 顯 眼 的 旅 行 者 
pt_runaway_serfs|逃 跑 的 農 奴 
pt_spy|普 通 的 市 民 
pt_sacrificed_messenger|做 出 犧 牲 的 信 使 
pt_forager_party|征 糧 隊 
pt_scout_party|偵 察 隊 
pt_patrol_party|巡 邏 隊 
pt_messenger_party|信 使 
pt_raider_party|突 襲 隊 
pt_raider_captives|獵 俘 隊 
pt_kingdom_caravan_party|商 隊 
pt_prisoner_train_party|俘 虜 押 送 隊 
pt_default_prisoners|逃 走 的 俘 虜 
pt_routed_warriors|潰 軍 
pt_center_reinforcements|增 援 部 隊 
pt_kingdom_hero_party|作 戰 隊 伍 
pt_steppe_bandit_lair|草 原 土 匪 藏 身 處 
pt_taiga_bandit_lair|雪 原 土 匪 藏 身 處 
pt_desert_bandit_lair|沙 漠 土 匪 藏 身 處 
pt_forest_bandit_lair|綠 林 土 匪 藏 身 處 
pt_mountain_bandit_lair|山 地 土 匪 藏 身 處 
pt_sea_raider_lair|海 寇 藏 身 處 
pt_robber_knight_lair|強 盜 騎 士 藏 身 處 
pt_looter_lair|綁 匪 藏 身 處 
pt_leaded_looters|搶 匪 團 伙 
pt_pagan_stronghold|異 教 徒 要 塞 
pt_dplmc_spouse|您 的 配 偶 
pt_dplmc_gift_caravan|您 的 商 隊 
pt_dplmc_recruiter|征 兵 隊 
